Java HotSpot(TM) 64-Bit Server VM (25.162-b12) for windows-amd64 JRE (1.8.0_162-b12), built on Dec 19 2017 20:00:03 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16452116k(7083948k free), swap 24316436k(9325880k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-05-16T18:10:34.502+0800: 0.671: [Full GC (Ergonomics) [PSYoungGen: 29657K->23750K(58368K)] [ParOldGen: 175011K->174774K(175104K)] 204668K->198524K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0304913 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2021-05-16T18:10:34.534+0800: 0.703: [Full GC (Ergonomics) [PSYoungGen: 29611K->25511K(58368K)] [ParOldGen: 174774K->174686K(175104K)] 204386K->200198K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0304015 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2021-05-16T18:10:34.566+0800: 0.735: [Full GC (Ergonomics) [PSYoungGen: 29499K->25565K(58368K)] [ParOldGen: 174686K->174845K(175104K)] 204185K->200411K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0292350 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2021-05-16T18:10:34.597+0800: 0.766: [Full GC (Ergonomics) [PSYoungGen: 29688K->25475K(58368K)] [ParOldGen: 174845K->174718K(175104K)] 204534K->200194K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0103261 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-05-16T18:10:34.608+0800: 0.777: [Full GC (Ergonomics) [PSYoungGen: 29691K->26258K(58368K)] [ParOldGen: 174718K->174929K(175104K)] 204410K->201187K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0283281 secs] [Times: user=0.19 sys=0.00, real=0.03 secs] 
2021-05-16T18:10:34.637+0800: 0.806: [Full GC (Ergonomics) [PSYoungGen: 29643K->26993K(58368K)] [ParOldGen: 174929K->174755K(175104K)] 204572K->201749K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0183025 secs] [Times: user=0.09 sys=0.02, real=0.02 secs] 
2021-05-16T18:10:34.656+0800: 0.825: [Full GC (Ergonomics) [PSYoungGen: 29637K->25887K(58368K)] [ParOldGen: 174755K->174975K(175104K)] 204393K->200863K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0271533 secs] [Times: user=0.16 sys=0.00, real=0.03 secs] 
2021-05-16T18:10:34.684+0800: 0.853: [Full GC (Ergonomics) [PSYoungGen: 29623K->26584K(58368K)] [ParOldGen: 174975K->174437K(175104K)] 204599K->201022K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0224716 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-05-16T18:10:34.708+0800: 0.876: [Full GC (Ergonomics) [PSYoungGen: 29657K->26510K(58368K)] [ParOldGen: 174437K->174959K(175104K)] 204095K->201469K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0307149 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2021-05-16T18:10:34.739+0800: 0.908: [Full GC (Ergonomics) [PSYoungGen: 29431K->26214K(58368K)] [ParOldGen: 174959K->174569K(175104K)] 204390K->200783K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0256715 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2021-05-16T18:10:34.766+0800: 0.934: [Full GC (Ergonomics) [PSYoungGen: 29512K->26866K(58368K)] [ParOldGen: 174569K->174964K(175104K)] 204081K->201831K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0333975 secs] [Times: user=0.16 sys=0.00, real=0.03 secs] 
2021-05-16T18:10:34.800+0800: 0.968: [Full GC (Ergonomics) [PSYoungGen: 29558K->27816K(58368K)] [ParOldGen: 174964K->174653K(175104K)] 204523K->202470K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0306144 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
